"","RMSE","MAE","MAPE","R2","WPOCID","Theil"
"X1",1371.69546875595,723.266592266312,6.50077158811009,0.914112199453997,0.468468468468468,1.15954112903799
"X2",1490.60652055758,775.000473289306,6.92845143347062,0.900642079460791,0.468468468468468,1.36930596833331
"X3",1349.79531763161,696.037910079998,6.0891278248885,0.913670123543116,0.45045045045045,1.12281873520224
"X4",1464.26346648928,791.400533417729,7.30635026682634,0.903512990960227,0.486486486486487,1.32130305883059
"X5",1557.68229441747,810.590513161579,7.5111608494435,0.889997867627736,0.477477477477477,1.49531793187933
"X6",1618.21288412649,839.546446911156,8.72984406668334,0.88267379017298,0.495495495495496,1.6138011450875
"X7",1532.99522866672,813.417392255,7.96200377032068,0.895025930875255,0.477477477477477,1.44830643716487
"X8",1470.79081843646,797.285016400004,8.11593111833851,0.902193955354546,0.495495495495496,1.33315193536099
"X9",1523.65110568838,807.283835076785,8.13879298440773,0.893608311844997,0.495495495495496,1.43070254397426
"X10",1571.49205118121,812.469494769949,8.24419012306457,0.88788718556306,0.486486486486487,1.52195983867993
"X11",1409.77619953411,751.33286287251,6.95610126462717,0.90622187840656,0.495495495495496,1.22484161582757
"X12",1425.27735786626,777.215805564526,7.53898896084726,0.907981445603848,0.495495495495496,1.25192200240482
"X13",1495.65692580288,799.645284183511,8.33348675564728,0.895992565868972,0.495495495495496,1.37860748602479
"X14",1643.62467449223,835.191976165911,7.84384677033685,0.878880113289849,0.495495495495496,1.66488254338258
"X15",1552.37816644475,842.876151446713,7.88993278982763,0.889672013105885,0.495495495495496,1.48516078368053
"X16",1394.93625622831,778.90833970351,7.0500006560886,0.90968745568432,0.495495495495496,1.19911309213119
"X17",1360.26955524254,731.937509542689,6.55422414531362,0.914402872003131,0.495495495495496,1.14031620138263
"X18",1941.73863833514,960.33496570828,8.74936241116884,0.843917064242474,0.486486486486487,2.32358521868881
"X19",1544.11386486606,874.233492332007,8.0661374153686,0.891658581006413,0.522522522522523,1.46939389166627
"X20",1692.66952425382,944.520841718889,8.90851819999297,0.872776937300033,0.540540540540541,1.76571817736237
"X21",1497.95814794401,871.678110652987,8.22392942512828,0.897995661950402,0.504504504504504,1.38278430107392
"X22",1795.58579838336,931.04419301577,9.68004541078036,0.859523227234969,0.504504504504504,1.9869065612757
"X23",1616.63876770357,875.371911992549,9.2128489597313,0.882707655197028,0.522522522522523,1.61063430012036
"X24",1723.33093989013,902.188257112583,9.60034747787041,0.869467276687184,0.522522522522523,1.8302569180336
"X25",1798.38917417237,962.563227662656,9.80365620474309,0.860513432176692,0.513513513513513,1.99315949181518
"X26",1554.7881638545,905.360219491071,9.25511791336876,0.890648417325413,0.495495495495496,1.48965874356681
"X27",1629.23061994778,879.674303723679,9.12559005037256,0.880863481819383,0.504504504504504,1.63581934301324
"X28",2467.39451901092,1183.41524512398,11.955261539737,0.76598657786136,0.540540540540541,3.7519353193499
"X29",1893.52272099915,1028.27104284553,9.88915290190094,0.848438282164905,0.522522522522523,2.20962683520997
"X30",2073.67598544052,1109.43482746906,10.4282253824456,0.823032271517267,0.531531531531532,2.6500897426364
"X31",2211.77462255856,1252.3712782012,10.5269961405835,0.808653696456639,0.621621621621622,3.01473296930555
"X32",1591.57960512201,925.93200103429,8.15795920519085,0.887267320864233,0.486486486486487,1.56112005558011
"X33",1993.88564848665,1106.7159690531,9.7148531945668,0.830095562162395,0.495495495495496,2.45002315308977
"X34",1705.85505040187,948.437557712526,8.34493109408756,0.875921157719079,0.477477477477477,1.79283700927295
"X35",3496.29380396241,1393.22275001999,13.6908756244723,0.613724924020791,0.504504504504504,7.53346224292926
"X36",1866.38693108839,1106.73151302864,10.6682846535547,0.849300673545909,0.513513513513513,2.14638965001249
"X37",1708.22079636779,996.597964546364,9.2321811687884,0.871021039624447,0.522522522522523,1.79823752373106
"X38",2080.0439527016,1132.73947890219,11.0658769543653,0.816657872730483,0.513513513513513,2.66628668139987
"X39",1781.67172761235,1035.00244816329,9.91931003200062,0.858947725126073,0.504504504504504,1.95611088884397
"X40",1931.61108197255,1110.76966836174,10.6940303179179,0.841339517780046,0.540540540540541,2.29938382476149
"X41",1877.30440445579,1029.58953407257,9.31726590210794,0.842843227358387,0.513513513513513,2.17119023774276
"X42",1756.35289064272,970.183405089903,8.8815381439405,0.870247397707061,0.504504504504504,1.90107470798908
"X43",1720.77002291391,980.711309081256,9.63697492324477,0.869716398467048,0.522522522522523,1.8248287775775
"X44",2503.03706744173,1244.83024604378,11.4424465803719,0.750996084232957,0.513513513513513,3.86082707764456
"X45",2412.9125113107,1199.88566036893,10.9784834360877,0.761904180606362,0.504504504504504,3.58800919298728
"ARIMA",1984.04088984885,1154.37075981521,9.15286789557629,0.835850163433478,0.477477477477477,2.42591758074786
"ETS",1498.71334149707,775.421718253564,6.7311367598015,0.898111832127511,0.513513513513513,1.38425511017932
"SVR",1443.91189747452,769.063075174156,6.7806196306002,0.903803009520813,0.513513513513513,1.28481293625716
"ELM",1889.37655095519,1040.62129865596,9.03269491620012,0.848311701403763,0.531531531531532,2.19883168149118
"XGB",2321.23020470664,1935.76903983626,20.3900580651452,0.830259081536011,0.459459459459459,3.31325879207918
"LSTM",1264.10918610286,696.690333686509,6.04673468025754,0.927056488877409,0.477477477477477,0.984734663166501
"MLP",1608.08912759342,989.656574965546,9.02813030968697,0.895663811943959,0.504504504504504,1.59261793887365
"DESTC",1449.51194222401,811.865653909736,7.09570033019754,0.905020893410775,0.468468468468468,1.29485928243576
"DESTCRI",1447.18455631796,791.111760613661,7.13697623386233,0.904991544692378,0.504504504504504,1.29069110460555
"cSA",1504.30335762175,842.503247841722,8.0865511136535,0.896579700155155,0.495495495495496,1.39458315001706
"cSM",1480.52697151223,817.885459977053,8.00866118475116,0.899503435578752,0.477477477477477,1.35085177059298
"cSVR",3978.56375337155,3018.52730213406,23.036451633337,0.738605018614166,0.540540540540541,9.75281799458377
"cELM",5663.55449101027,3956.16634522817,29.9373315052844,0.704799208490816,0.504504504504504,19.7676387213805
"cMLP",64790.4635710526,48282.1801936215,359.736054602943,0.0226136341173063,0.45045045045045,2585.12553976986
"DSLA",1629.23061994778,879.674303723679,9.12559005037256,0.880863481819383,0.504504504504504,1.63581934301324
"DESLA_m",1583.85791949875,870.789711317933,8.77312811125022,0.886711286726801,0.477477477477477,1.54599662502219
"DESLA_a",1581.30786918088,888.967594195657,8.70850474743355,0.887889257224095,0.486486486486487,1.54101518209977
"Oracle",519.740002667867,169.152714654199,1.54074144499925,0.986476194276853,0.297297297297297,0.166476083211848
